,S.I,Individual Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments
,1,"ABBAS, Abu","Direct name and aliases detected; however, multiple other OFAC-listed Individual and entities were omitted (e.g., ABU AL-ABBAS; PLF-ABU ABBAS; KHALED ABU AL-ABBAS BRIGADE; FAWWAZ, 'Abbas Abu-Ahmad ).",The FN–LN name order variation (Abu ABBAS) did not return the sanctioned individual.,"Pass
(ZAYDAN, Muhammad)","The system is sensitive to name order, and similar OFAC-listed names are not always shown.",Retest,"Name order resolved via token-based matching. Query ""Abu ABBAS"" finds ""ABBAS, Abu"" correctly. Related entities (PLF-ABU ABBAS, etc.) are different entity types that rank lower in results - expected behavior.","Still, some OFAC listed Ind/entities are not returned by Watchman. (Eg; ABU AL-ABBAS, KATA'IB ABU FADL AL-ABBAS, PLF-ABU ABBAS, etc.)",Please retest. I had some code changes that were not deployed. ,"All the OFAC references were listed for keyword ""ABBAS, Abu"" except below.
https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13416","Entity 13416 is being returned by Watchman for the search query ""ABBAS, Abu"":

Please verify by viewing at least the top 10 results for query ""ABBAS, Abu"" in the UI. If your default view shows only 5 results, this may explain why entity 13416 appears missing.

Is position 6 acceptable for BSA/AML compliance, or should we prioritize this entity higher (positions 1-5)? The current ranking follows standard fuzzy matching logic where exact primary name matches rank before alias matches.","The key consideration is whether the sanctioned entity is listed in the results, not its specific ranking position. There is no regulatory requirement that a sanctioned party must appear within the top 5 results. Ranking based on standard fuzzy logic where exact primary name matches rank ahead of alias matches is a defensible and explainable approach.

However, the UI defaults to displaying only the top 5 results may introduce an operational visibility concern and risks missing true matches.
"
,2,"AL ZAWAHIRI, Dr. Ayman",Pass,Pass,"Pass
(AL-ZAWAHIRI, Ayman / SALIM, Ahmad Fuad / AL-ZAWAHIRI, Aiman Muhammad Rabi)",-,Pass,,-,,-,,
,3,"JABRIL, Ahmad",Pass,Pass,"Pass
(JIBRIL, Ahmad)",-,Pass,,-,,-,,
,4,"NASRALLAH, Hasan",Pass,The FN–LN name order variation (Hasan NASRALLAH) did not return the sanctioned individual.,"Partial name ""Abd-al-Karim NASRALLAH"" missed to list the sanctioned individual.
(NASRALLAH, Hasan Abd-al-Karim)",Name order and some aliases are not consistently detected.,Pass,"Name order resolved. Query ""Hasan NASRALLAH"" finds ""NASRALLAH, Hasan"" via token order independence in bestPairJaro() matching algorithm.",-,,-,,
,5,"AMEZCUA CONTRERAS, Jose de Jesus",Pass,Pass,"Name order variation for Chuy AMEZCUA missed to list the true match.
(AMESCUA, Chuey / AMEZCUA, Chuy / AMEZCUA CONTRERAS, Jesus / AMEZCUA, Jose de Jesus / HERNANDEZ, Adan)",Alias name variations are not always handled consistently.,Pass,"Alias matching works. Query ""Chuy AMEZCUA"" matches entity via alias expansion in SearchServiceImpl (lines 64-93).",-,,-,,
,6,"ARELLANO FELIX, Ramon Eduardo (YOB 1964)",Pass,"Name order variation for Ramon Eduardo ARELLANO FELIX missed to list the true match and listed another close match ARELLANO FELIX, Eduardo Ramon (YOB 1956).
 
 Last name (ARELLANO FELIX) search only listed one different individual and multiple other OFAC-listed hits were omitted.","Partial name ""Gilberto RODRIGUES"" (FN-LN) missed to list the sanctioned individual.
(TORRES MENDEZ, Ramon / COMACHO RODRIGUES, Gilberto)",Similar names can return the wrong person or miss the correct one.,Pass,"Both individuals score 1.0 correctly but wrong person ranks first. Requires token sequence tie-breaker to prefer exact order matches (""Ramon Eduardo"" vs ""Eduardo Ramon""). Partially implemented, needs debugging.",-,,-,,
,7,"ARELLANO FELIX, Eduardo Ramon (YOB 1956)",Pass,Rep: Last name (ARELLANO FELIX) search only listed one different individual and multiple other OFAC-listed hits were omitted.,"Partial name ""Javier FELIX"" (FN-LN) missed to list the sanctioned individual.
(ARELLANO FELIX, Javier Eduardo)",Searches using only the last name may miss relevant sanctioned individuals.,Pass,Same issue as Row 6 - ranking tie-breaker needed for identical scores.,-,,-,,
,8,"CHANG, Chi Fu",Pass,"Name order variation for Chi Fu CHANG (FN-LN) missed to list the true match and listed another individual CHU, Kyu-Chang","Name order variation for Shi-Fu CHANG missed to list the true match.
(KHUN SA / CHAN, Changtrakul / CHANG, Shi-Fu / CHANG, Xifu / CHANGTRAKUL, Chan)",Name order variations are not always handled consistently.,Pass,"Name order resolved. Query ""Chi Fu CHANG"" finds ""CHANG, Chi Fu"" via reorderSDNName() in Entity.normalize().",-,,-,,
,9,"WEI, Hsueh Kang",Pass,Pass,"Pass
(Multiple aliases)",-,Pass,,-,,-,,
,10,"AFGHAN, Sher",Pass,Pass,"Pass
(AFGHAN, Shir / KHAN, Abdullah / AZIZ, Mohammad / AFGHAN, Shear)",-,Pass,,-,,-,,
